qid,lamp_num,generator_name,ranker,rerank_method,pl_alpha,pl_randmmr_lambda_low,pl_randmmr_lambda_high,expected_utility,max_utility,min_utility,avg_ild_jaccard,ee_disparity,ee_relevance,ee_difference,n_lists
31127,4,flanT5Small,bm25,pl,8,,,0.08445086828305676,0.15384615029585808,0.0,0.8552172509023894,0.672,0.685246,0.238718,10
31128,4,flanT5Small,bm25,pl,8,,,0.07594936469155592,0.07594936469155592,0.07594936469155592,0.9106193650937124,1.0,0.6,0.727273,10
31129,4,flanT5Small,bm25,pl,8,,,0.09523809034013632,0.09523809034013632,0.09523809034013632,0.9072004536798509,1.0,0.8,0.652174,10
31133,4,flanT5Small,bm25,pl,8,,,0.04418604482422937,0.04651162621957821,0.0232558122660899,0.9344488330053883,0.892,0.542857,0.430588,10
31134,4,flanT5Small,bm25,pl,8,,,0.024999998403125105,0.0249999984031251,0.0249999984031251,0.9416385712060164,1.0,0.4,0.6,10
31135,4,flanT5Small,bm25,pl,8,,,0.04794210450163212,0.05970148940966825,0.030303027139577925,0.6089544977753264,0.904,0.0,0.926857,10
31136,4,flanT5Small,bm25,pl,8,,,0.08108107855003661,0.0810810785500366,0.0810810785500366,0.9559700681080674,1.0,0.6,0.972727,10
31137,4,flanT5Small,bm25,pl,8,,,0.12109180844810333,0.12903225494276802,0.10256409996055234,0.9188453866349617,0.932,0.4,0.904273,10
31138,4,flanT5Small,bm25,pl,8,,,0.05555555316358035,0.05555555316358035,0.05555555316358035,0.9488576197935419,0.892,0.62,0.875499,10
31139,4,flanT5Small,bm25,pl,8,,,0.021115286347460495,0.03571428255739824,0.0,0.5237955668555424,1.0,0.0,1.0,10
31140,4,flanT5Small,bm25,pl,8,,,0.04761904534297063,0.04761904534297063,0.04761904534297063,0.8990842351219712,1.0,0.4,0.972028,10
31141,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.4505722466248782,1.0,0.0,1.0,10
31142,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.8233395153849846,0.964,0.2,0.952105,10
31143,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.7620412409365581,1.0,0.0,1.0,10
31144,4,flanT5Small,bm25,pl,8,,,0.0799999950720003,0.0799999950720003,0.0799999950720003,0.8491555500470055,1.0,0.6,0.983146,10
31145,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.9493419884998833,1.0,0.0,1.0,10
31146,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.9283256766480857,1.0,0.6,0.981013,10
31147,4,flanT5Small,bm25,pl,8,,,0.3611111079783952,0.36111110797839513,0.36111110797839513,0.7556743550260201,1.0,0.8,0.724138,10
31148,4,flanT5Small,bm25,pl,8,,,0.09976642958886829,0.10810810442658889,0.024691356049382874,0.9205865943417594,0.936,0.16,0.844571,10
31149,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.9232107355808712,0.964,0.18,0.948717,10
31150,4,flanT5Small,bm25,pl,8,,,0.12872841189443038,0.15384615090072323,0.12244897714285716,0.585899308680095,0.936,1.0,0.901674,10
31151,4,flanT5Small,bm25,pl,8,,,0.3333333298765432,0.3333333298765432,0.3333333298765432,0.6187133066950097,1.0,0.8,0.384615,10
31152,4,flanT5Small,bm25,pl,8,,,0.2857142807510204,0.28571428075102046,0.28571428075102046,0.9553611675553817,1.0,0.0,1.0,10
31153,4,flanT5Small,bm25,pl,8,,,0.03214285607334187,0.10714285357780624,0.0,0.50360507123665,1.0,0.4,0.989071,10
31154,4,flanT5Small,bm25,pl,8,,,0.05882352456747445,0.05882352456747445,0.05882352456747445,0.9567742158348571,1.0,0.0,1.0,10
31155,4,flanT5Small,bm25,pl,8,,,0.025140710384055964,0.02564102303747561,0.02439024140392649,0.9679052485710502,1.0,0.0,1.0,10
31156,4,flanT5Small,bm25,pl,8,,,0.17272726789256215,0.18181817698347122,0.09090908607438043,0.9362974120944692,0.884,0.2,0.879521,10
31158,4,flanT5Small,bm25,pl,8,,,0.006153845915266282,0.06153845915266282,0.0,0.8944998338722996,0.964,0.0,0.9715,10
31159,4,flanT5Small,bm25,pl,8,,,0.41666666291666676,0.41666666291666676,0.41666666291666676,0.689437934029382,0.964,1.0,0.924403,10
31160,4,flanT5Small,bm25,pl,8,,,0.08695651905902131,0.0869565190590213,0.0869565190590213,0.9322797666997686,1.0,0.0,1.0,10
31161,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.9165721192533921,1.0,0.0,1.0,10
31162,4,flanT5Small,bm25,pl,8,,,0.02666666497422233,0.02666666497422233,0.02666666497422233,0.8371562471053208,0.964,0.2,0.937623,10
31163,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.9196526957536342,1.0,0.8,0.970909,10
31164,4,flanT5Small,bm25,pl,8,,,0.047019051667856235,0.09090908694214893,0.02941176110726688,0.5431564390893658,0.876,0.0,0.917333,10
31165,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.8377832192869785,1.0,0.2,0.989796,10
31166,4,flanT5Small,bm25,pl,8,,,0.04217439819233337,0.07017543527239167,0.03448275533888259,0.5296266087674946,0.876,0.4,0.865132,10
31167,4,flanT5Small,bm25,pl,8,,,0.03484983335698007,0.035087716183441336,0.033898302051135004,0.4545680035153719,0.868,0.38,0.858514,10
31168,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.5997781508179455,1.0,0.4,0.986063,10
31169,4,flanT5Small,bm25,pl,8,,,0.4020831308722082,0.8124999950781252,0.26666666403950623,0.7717842492806283,0.916,0.94,0.317333,10
31170,4,flanT5Small,bm25,pl,8,,,0.030777574229739646,0.050632908995353415,0.02857142592244923,0.9442382435628153,0.964,0.18,0.890364,10
31171,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.9448340902423329,0.876,0.0,0.904182,10
31175,4,flanT5Small,bm25,pl,8,,,0.02727272703719008,0.2727272703719008,0.0,0.9474954681735888,0.964,0.2,0.94944,10
31176,4,flanT5Small,bm25,pl,8,,,0.0240725453229669,0.02439024157941724,0.023529409511418905,0.9363624594242171,0.772,0.02,0.775837,10
31177,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.9421445455120738,0.916,0.14,0.909988,10
31178,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.940067782153989,1.0,0.0,1.0,10
31179,4,flanT5Small,bm25,pl,8,,,0.05194804914150799,0.051948049141507996,0.051948049141507996,0.8428735997459356,1.0,0.4,0.979058,10
31180,4,flanT5Small,bm25,pl,8,,,0.1367159319218792,0.3124999971533204,0.0,0.9440794056788115,0.292,0.32,0.294982,10
31181,4,flanT5Small,bm25,pl,8,,,0.03846153559911264,0.03846153559911264,0.03846153559911264,0.530378962660168,1.0,0.8,0.952941,10
31182,4,flanT5Small,bm25,pl,8,,,0.033898302740591954,0.03389830274059195,0.03389830274059195,0.6587368720879184,1.0,0.2,0.975309,10
31184,4,flanT5Small,bm25,pl,8,,,0.05405405171658155,0.05405405171658155,0.05405405171658155,0.8925808163784348,0.908,0.4,0.857429,10
31185,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.5085976896503213,0.848,0.12,0.846488,10
31186,4,flanT5Small,bm25,pl,8,,,0.02985074416573862,0.02985074416573862,0.02985074416573862,0.9415872347962967,1.0,0.2,0.99308,10
31187,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.9141618644068105,1.0,0.2,0.99005,10
31188,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.9337554671274477,0.916,0.2,0.90412,10
31189,4,flanT5Small,bm25,pl,8,,,0.12499999722222226,0.12499999722222227,0.12499999722222227,0.5498975452984023,1.0,1.0,0.927536,10
31190,4,flanT5Small,bm25,pl,8,,,0.0586679869041439,0.06666666308888908,0.030769227389349483,0.5191841558157346,0.876,0.56,0.84428,10
31191,4,flanT5Small,bm25,pl,8,,,0.08442028519817292,0.08695651788279792,0.08333332833333364,0.92502661294562,1.0,0.0,1.0,10
