lamp_num,generator_name,ranker,method,baseline_eu_norm,n_baseline,Q1 (least diverse)_lo,Q1 (least diverse)_hi,Q1 (least diverse)_delta,Q1 (least diverse)_n,Q1 (least diverse)_sig,Q2_lo,Q2_hi,Q2_delta,Q2_n,Q2_sig,Q3_lo,Q3_hi,Q3_delta,Q3_n,Q3_sig,Q4 (most diverse)_lo,Q4 (most diverse)_hi,Q4 (most diverse)_delta,Q4 (most diverse)_n,Q4 (most diverse)_sig,bin 1/3_lo,bin 1/3_hi,bin 1/3_delta,bin 1/3_n,bin 1/3_sig,bin 2/3_lo,bin 2/3_hi,bin 2/3_delta,bin 2/3_n,bin 2/3_sig,bin 3/3_lo,bin 3/3_hi,bin 3/3_delta,bin 3/3_n,bin 3/3_sig
3,flanT5Small,contriever,mmr,0.8968381564844587,311,0.0,0.963828736245919,0.018663009016706922,286.0,,0.963828736245919,0.9784886184996014,0.0029245955914606325,281.0,,0.9784886184996014,0.9912919850026303,-0.021107162332412055,285.0,,0.9912919850026303,1.0,-0.011903399663581005,281.0,,,,,,,,,,,,,,,,
4,flanT5Base,bm25,pl,0.29079477818297667,827,0.4643290267368865,0.9688670316753187,-0.011354183418276598,827.0,,0.9688670316753187,0.9807224557308234,-0.028158980695815017,827.0,*,0.9807224557308234,0.9895607587355405,-0.035496886602637834,827.0,**,0.9895607587355405,1.0,-0.022360066739390838,827.0,,,,,,,,,,,,,,,,
4,flanT5Base,bm25,mmr,0.29079477818297667,827,0.4643290267368865,0.9656759354916781,0.003490140570328426,1035.0,,0.9656759354916781,0.9793204656056221,0.020752824272648962,1034.0,,0.9793204656056221,0.9901298523048251,-0.00614344029420355,1032.0,,0.9901298523048251,1.0,-0.0045333440606911135,1034.0,,,,,,,,,,,,,,,,
4,flanT5Base,contriever,pl,0.3395872501972337,827,0.5021400860815941,0.9717708893131222,-0.0016387753196969168,827.0,,0.9717708893131222,0.9831139896772811,-0.06002545435352952,827.0,**,0.9831139896772811,0.9917035464236883,-0.05661524058090617,827.0,**,0.9917035464236883,1.0,-0.07149873565556325,827.0,**,,,,,,,,,,,,,,,
4,flanT5Base,contriever,mmr,0.3395872501972337,827,0.5196040394214033,0.9735167026194352,0.02905829054315029,1037.0,*,0.9735167026194352,0.9871169680882207,-0.004870065195124895,1034.0,,0.9871169680882207,0.9978157504510977,-0.033066095182715916,1031.0,*,0.9978157504510977,1.0,-0.005427057672087399,1033.0,,,,,,,,,,,,,,,,
4,flanT5Small,bm25,pl,0.2968901898794616,833,0.4673088841712256,0.9730500549287456,-0.009590804437803857,833.0,,0.9730500549287456,0.9847253183821739,-0.021153354949057956,833.0,,0.9847253183821739,0.9927074432868997,-0.004876419886893579,833.0,,0.9927074432868997,1.0,-0.0008327059347298937,833.0,,,,,,,,,,,,,,,,
4,flanT5Small,bm25,mmr,0.2968901898794616,833,0.4673088841712256,0.9686196592482341,0.00558166027685586,677.0,,0.9686196592482341,0.981269894126245,-0.001758671540661616,673.0,,0.981269894126245,0.9924702578407114,-0.00872124002198943,675.0,,0.9924702578407114,1.0,0.01870526399768141,674.0,,,,,,,,,,,,,,,,
4,flanT5Small,contriever,pl,0.3260295864037321,833,0.5116675136480824,0.9767978755418165,-0.003716103717147201,833.0,,0.9767978755418165,0.9874748125011795,-0.059318510119565904,833.0,**,0.9874748125011795,0.9949114173893179,-0.03309930890161339,833.0,**,0.9949114173893179,1.0,-0.051648890124723845,833.0,**,,,,,,,,,,,,,,,
4,flanT5Small,contriever,mmr,0.3260295864037321,833,0.5303600030464252,0.974862354871957,0.02786326122754723,675.0,,0.974862354871957,0.9889274624369632,-0.011709811792576796,675.0,,0.9889274624369632,0.9993653436051095,0.010819488221489815,674.0,,0.9993653436051095,1.0,-0.047322443606950315,675.0,**,,,,,,,,,,,,,,,
5,flanT5Base,bm25,pl,0.5311688244650712,759,0.41957115808148177,0.9639905713606979,-0.020766006666295467,759.0,,0.9639905713606979,0.9826523867008341,0.0030094816247429046,759.0,,0.9826523867008341,0.9932460833834087,0.0025297735868720084,759.0,,0.9932460833834087,1.0,0.01786261697089009,759.0,,,,,,,,,,,,,,,,
5,flanT5Base,bm25,mmr,0.5311688244650712,759,0.4195711580814818,0.9566672277451687,-0.034312960778649426,949.0,*,0.9566672277451687,0.9761850059253059,0.019710487745980054,951.0,,0.9761850059253059,0.9887773787566666,0.017513086736317685,948.0,,0.9887773787566666,1.0,0.04669600569913368,947.0,**,,,,,,,,,,,,,,,
5,flanT5Base,contriever,pl,0.550489137884847,759,0.41957115808148177,0.9577970846364534,-0.012204709801218017,759.0,,0.9577970846364534,0.9801338851392966,-0.02065084074195156,759.0,,0.9801338851392966,0.9927134397614089,-0.016247581226361274,759.0,,0.9927134397614089,1.0,-0.006782673204832723,759.0,,,,,,,,,,,,,,,,
5,flanT5Base,contriever,mmr,0.550489137884847,759,0.4195711580814818,0.9535627780175336,-0.03444742281826585,953.0,*,0.9535627780175336,0.9732929748709964,-0.021277625045905135,946.0,,0.9732929748709964,0.9862279612427582,0.01713112023378438,947.0,,0.9862279612427582,1.0,0.04175176049960716,949.0,*,,,,,,,,,,,,,,,
