lamp_num,granularity,cutoff,approach,baseline_eu_norm,n_baseline,generator_name,ranker,cutoff_ild_norm,selected_setting,self_membership_frac,n,delta_eu_norm,p_value,sig
3,generator_pooled,bottom50,approach_b,0.8812968917470525,622,flanT5Small,,0.9680720194430874,,,2477,-0.00046322198524395564,0.9463261352368604,
3,ranker_pooled,bottom25,approach_a,0.8902999516207063,689,,bm25,0.9307600571890083,pl_a8,0.47895500725689405,689,0.00020561199806490293,0.9794328553008719,
3,ranker_pooled,bottom25,approach_b,0.8902999516207063,689,,bm25,0.9307600571890083,,,1568,0.014610762665008048,0.029993458104521028,*
3,ranker_pooled,bottom50,approach_a,0.8902999516207063,689,,bm25,0.9559449534437323,mmr_l0.7,0.7280334728033473,478,0.002831150192403764,0.7461358343952526,
3,ranker_pooled,bottom50,approach_b,0.8902999516207063,689,,bm25,0.9559449534437323,,,3129,0.0005224623560700081,0.9335289748610287,
3,ranker_pooled,bottom25,approach_a,0.888848572810837,689,,contriever,0.936588737884554,pl_a8,0.49637155297532654,689,0.0013546202225448445,0.865574940904689,
3,ranker_pooled,bottom25,approach_b,0.888848572810837,689,,contriever,0.936588737884554,,,1569,0.01898019285731678,0.004822154999487464,**
3,ranker_pooled,bottom50,approach_a,0.888848572810837,689,,contriever,0.9632168775991816,mmr_l0.7,0.7259414225941423,478,0.010384342112454537,0.24199205808453703,
3,ranker_pooled,bottom50,approach_b,0.888848572810837,689,,contriever,0.9632168775991816,,,3129,0.00919659603970091,0.14259084598511274,
4,gen_x_ranker,bottom25,approach_a,0.30342740765409265,825,flanT5Base,bm25,0.9559269734849107,pl_a8,0.4109090909090909,825,-0.000720732113709599,0.9614130576817874,
4,gen_x_ranker,bottom25,approach_b,0.30342740765409265,825,flanT5Base,bm25,0.9559269734849107,,,2063,0.014844929238172822,0.23214048731152254,
4,gen_x_ranker,bottom50,approach_a,0.30342740765409265,825,flanT5Base,bm25,0.970884021894732,pl_a8,0.6521212121212121,825,-0.000720732113709599,0.9614130576817874,
4,gen_x_ranker,bottom50,approach_b,0.30342740765409265,825,flanT5Base,bm25,0.970884021894732,,,4125,-0.002622851324764086,0.8201619077566471,
4,gen_x_ranker,bottom25,approach_a,0.3594152367752179,825,flanT5Base,contriever,0.9627262569411699,pl_a8,0.43272727272727274,825,0.001583895163452198,0.9206446577883155,
4,gen_x_ranker,bottom25,approach_b,0.3594152367752179,825,flanT5Base,contriever,0.9627262569411699,,,2064,0.014924909146910914,0.25499051032745423,
4,gen_x_ranker,bottom50,approach_a,0.3594152367752179,825,flanT5Base,contriever,0.9767060283105693,pl_a4,0.6836363636363636,825,0.0008134816676337864,0.9557015315479225,
4,gen_x_ranker,bottom50,approach_b,0.3594152367752179,825,flanT5Base,contriever,0.9767060283105693,,,4125,-0.00938066060770354,0.4419118431545701,
