lamp_num,generator_name,ranker,setting,mean,count
4,flanT5Small,bm25,mmr_l0.3,0.21459536733774803,100
4,flanT5Small,bm25,mmr_l0.45,0.30589246517235547,833
4,flanT5Small,bm25,mmr_l0.55,0.314136760527242,833
4,flanT5Small,bm25,mmr_l0.7,0.20639794073293302,100
4,flanT5Small,bm25,mmr_l0.85,0.3025674137454917,833
4,flanT5Small,bm25,pl_a1,0.2700530817974925,833
4,flanT5Small,bm25,pl_a2,0.28115927627879145,833
4,flanT5Small,bm25,pl_a4,0.3015787533494671,833
4,flanT5Small,bm25,pl_a8,0.2983163628836099,833
4,flanT5Small,contriever,det,0.32602958640373214,833
4,flanT5Small,contriever,mmr_l0.15,0.2530966103298681,100
4,flanT5Small,contriever,mmr_l0.3,0.3019398049170992,100
4,flanT5Small,contriever,mmr_l0.45,0.322304353630191,833
4,flanT5Small,contriever,mmr_l0.55,0.3211994191620845,833
4,flanT5Small,contriever,mmr_l0.7,0.29187765508929275,100
4,flanT5Small,contriever,mmr_l0.85,0.32507410439647766,833
4,flanT5Small,contriever,pl_a1,0.24399619169033687,833
4,flanT5Small,contriever,pl_a2,0.26407451293329753,833
4,flanT5Small,contriever,pl_a4,0.32152084825520316,833
4,flanT5Small,contriever,pl_a8,0.3267439798730404,833
5,flanT5Base,bm25,det,0.5311688244650713,759
5,flanT5Base,bm25,mmr_l0.15,0.5389829820367843,759
5,flanT5Base,bm25,mmr_l0.3,0.5441313403279623,759
5,flanT5Base,bm25,mmr_l0.45,0.5374466772875406,759
5,flanT5Base,bm25,mmr_l0.55,0.5482833553921415,759
5,flanT5Base,bm25,mmr_l0.7,0.5476226784855941,759
5,flanT5Base,bm25,mmr_l0.85,0.5402905025720348,759
5,flanT5Base,bm25,pl_a1,0.5196943829027414,759
5,flanT5Base,bm25,pl_a2,0.5271909341250071,759
5,flanT5Base,bm25,pl_a4,0.5434126910714429,759
5,flanT5Base,bm25,pl_a8,0.5370131552773028,759
5,flanT5Base,contriever,det,0.550489137884847,759
5,flanT5Base,contriever,mmr_l0.15,0.5475912732510535,759
5,flanT5Base,contriever,mmr_l0.3,0.5407323972034879,759
5,flanT5Base,contriever,mmr_l0.45,0.5504579718386489,759
5,flanT5Base,contriever,mmr_l0.55,0.54573982342073,759
5,flanT5Base,contriever,mmr_l0.7,0.5584461674992157,759
5,flanT5Base,contriever,mmr_l0.85,0.560875079575838,759
5,flanT5Base,contriever,pl_a1,0.5217716752876511,759
5,flanT5Base,contriever,pl_a2,0.5251934902389673,759
5,flanT5Base,contriever,pl_a4,0.5467999969377197,759
5,flanT5Base,contriever,pl_a8,0.5523055841006862,759
5,flanT5Small,bm25,det,0.4578611318875436,826
5,flanT5Small,bm25,mmr_l0.15,0.5089699802230201,100
5,flanT5Small,bm25,mmr_l0.3,0.49915827964671494,100
5,flanT5Small,bm25,mmr_l0.45,0.46630275778310565,826
5,flanT5Small,bm25,mmr_l0.55,0.4665585937231752,826
5,flanT5Small,bm25,mmr_l0.7,0.5235261693667844,100
5,flanT5Small,bm25,mmr_l0.85,0.4556280776048398,826
5,flanT5Small,bm25,pl_a1,0.40620645098413843,826
5,flanT5Small,bm25,pl_a2,0.41912987674839797,826
5,flanT5Small,bm25,pl_a4,0.4667365962341061,826
5,flanT5Small,bm25,pl_a8,0.4553298622137122,826
5,flanT5Small,contriever,det,0.4648746890625483,826
5,flanT5Small,contriever,mmr_l0.15,0.4624436725033874,100
5,flanT5Small,contriever,mmr_l0.3,0.46398527039354137,100
5,flanT5Small,contriever,mmr_l0.45,0.44884915850711354,826
5,flanT5Small,contriever,mmr_l0.55,0.4607098879257876,826
5,flanT5Small,contriever,mmr_l0.7,0.4875381248568413,100
5,flanT5Small,contriever,mmr_l0.85,0.45309237008186193,826
5,flanT5Small,contriever,pl_a1,0.4012295657376638,826
5,flanT5Small,contriever,pl_a2,0.4124452911365534,826
5,flanT5Small,contriever,pl_a4,0.46012278972451637,826
5,flanT5Small,contriever,pl_a8,0.4625534327076892,826
6,flanT5Base,bm25,det,0.4730873676410714,783
6,flanT5Base,bm25,mmr_l0.15,0.44565186334546986,783
6,flanT5Base,bm25,mmr_l0.3,0.46375173372537515,783
6,flanT5Base,bm25,mmr_l0.45,0.4639169333414608,783
6,flanT5Base,bm25,mmr_l0.55,0.46747418073132535,783
